//type	cx	cy	sx	sy	z	dir	time	percent	count	vnum
// 군직 NPC
m	622	556	0	0	0	1	1m	100	1	20300
m	625	555	0	0	0	1	1m	100	1	20301
m	629	554	0	0	0	1	1m	100	1	20302
m	633	553	0	0	0	1	1m	100	1	20303
m	643	550	0	0	0	1	1m	100	1	20304
m	646	549	0	0	0	1	1m	100	1	20305
m	650	548	0	0	0	1	1m	100	1	20306
m	653	547	0	0	0	1	1m	100	1	20307
// 상점주인--------------------------------------------------------------------------
m	594	555	0	0	0	1	1m	100	1	9001
//m	595	557	0	0	0	1	1m	100	1	9007
m	595	608	0	0	0	5	1m	100	1	9002
//m	595	605	0	0	0	5	1m	100	1	9008
m	678	565	0	0	0	8	1m	100	1	9003
m	674	607	0	0	0	6	1m	100	1	9005
m	632	624	0	0	0	5	1m	100	1	9006
m	629	622	0	0	0	5	1m	100	1	20095
m	672	556	0	0	0	8	1m	100	1	20016
m	682	574	0	0	0	8	1m	100	1	20091
m	597	555	0	0	0	1	1m	100	1	20092
m	672	610	0	0	0	6	1m	100	1	9010
// 어부들----------------------------------------------------------------------------
m	354	327	0	0	0	0	1m	100	1	9009
m	325	405	0	0	0	0	1m	100	1	9009
m	251	874	0	0	0	0	1m	100	1	9009
m	195	937	0	0	0	0	1m	100	1	9009
m	304	1186	0	0	0	0	1m	100	1	9009
m	525	1147	0	0	0	0	1m	100	1	9009
m	591	1166	0	0	0	0	1m	100	1	9009
m	680	379	0	0	0	0	1m	100	1	9009
m	821	297	0	0	0	0	1m	100	1	9009
m	731	659	0	0	0	0	1m	100	1	9009
// NPC-------------------------------------------------------------------------------
m	625	633	0	0	0	5	1m	100	1	20008
m	629	471	0	0	0	0	1m	100	1	20023
m	718	577	0	0	0	1	1m	100	1	20349
m	687	475	1	1	0	0	1m	100	1	20002
m	698	513	1	1	0	0	1m	100	1	20003
//g	653	508	1	1	0	0	1m	100	1	11003
m	597	511	1	1	0	0	1m	100	1	20005
m	582	578	1	1	0	0	1m	100	1	20006
m	713	605	1	1	0	0	1m	100	1	20011
m	895	618	1	1	0	6	1m	100	1	20018
g	711	566	1	1	0	0	1m	100	1	12007
g	716	567	1	1	0	0	1m	100	1	12007
// 워프 -----------------------------------------------------------------------------------
m	405	73	0	0	0	0	1m	100	1	10001
// 워프 NPC
m	76	601	0	0	0	3	1m	100	1	20009
m	555	625	0	0	0	3	1m	100	1	9012
//m	939	1045	0	0	0	3	1m	100	1	10081
// 길드
m	645	586	0	0	0	0	1m	100	1	11000
m	571	510	0	0	0	2	1m	100	1	11001
// 근면의 훈장 이벤트용 NPC
m	653	508	1	1	0	0	1m	100	1	20041
// 다나까 -----------------------------------------------------------------------------------
s	0	0	0	0	0	0	600s	100	10	5004
// QuestNPC-------------------------------------------------------------------------------
m	573	531	0	0	0	0	1m	100	1	20355
m	605	663	0	0	0	0	1m	100	1	20354
m	60	1118	0	0	0	0	1m	100	1	20358
m	582	347	0	0	0	0	1m	100	1	20357
m	896	610	0	0	0	6	1m	100	1	20084
// 이벤트용 NPC
m	545	397	0	0	0	0	1m	100	1	20086
m	545	412	0	0	0	0	1m	100	1	20087
m	578	470	0	0	0	0	1m	100	1	20090

// over9제련NPC
m	676	604	0	0	0	6	1m	100	1	20094

// Damage Puppen
m	589	669	0	0	0	4	5s	100	1	50500
m	584	662	0	0	0	4	5s	100	1	50501
m	579	658	0	0	0	4	5s	100	1	50502
m	572	654	0	0	0	4	5s	100	1	50503
m	566	652	0	0	0	5	5s	100	1	50504
m	558	650	0	0	0	5	5s	100	1	50505

